iter	Passed	Remaining
398	130492	196556
399	130807	196211
400	131125	195870
401	131481	195586
402	131941	195456
403	132292	195163
404	132560	194749
405	132801	194296
406	133144	193991
407	133431	193606
408	133729	193237
409	134069	192928
410	134525	192787
411	134864	192476
412	135133	192066
413	135444	191715
414	135817	191453
415	136128	191103
416	136490	190824
417	136869	190569
418	137151	190178
419	137424	189776
420	137740	189434
421	138043	189074
422	138429	188826
423	138731	188464
424	139115	188214
425	139406	187838
426	139776	187568
427	140035	187149
428	140310	186753
429	140594	186369
430	140975	186114
431	141285	185764
432	141534	185334
433	141874	185024
434	142189	184683
435	142458	184280
436	142731	183885
437	143046	183543
438	143326	183157
439	143606	182772
440	143894	182397
441	144255	182114
442	144600	181811
443	144904	181457
444	145258	181165
445	145548	180794
446	145825	180406
447	146145	180072
448	146552	179844
449	146878	179518
450	147242	179237
451	147592	178939
452	147870	178554
453	148221	178257
454	148525	177904
455	148850	177575
456	149104	177163
457	149378	176775
458	149653	176388
459	149936	176011
460	150259	175682
461	150533	175296
462	150805	174908
463	151040	174477
464	151372	174160
465	151656	173786
466	151987	173467
467	152378	173216
468	152699	172886
469	152993	172524
470	153280	172156
471	153574	171795
472	153848	171412
473	154115	171022
474	154437	170694
475	154695	170294
476	154978	169924
477	155443	169752
478	155756	169413
479	156036	169039
480	156365	168718
481	156656	168357
482	156931	167978
483	157271	167669
484	157580	167327
485	157927	167026
486	158247	166696
487	158576	166375
488	158852	165998
489	159118	165612
490	159387	165230
491	159747	164942
492	160028	164573
493	160322	164217
494	160578	163822
495	160840	163434
496	161110	163055
497	161459	162756
498	161864	162512
499	162225	162225
500	162562	161913
501	162802	161505
502	163226	161279
503	163492	160897
504	163810	160567
505	164112	160220
506	164470	159929
507	164756	159567
508	165067	159230
509	165430	158942
510	165756	158619
511	166069	158285
512	166344	157913
513	166616	157539
514	166910	157187
515	167166	156799
516	167491	156476
517	167766	156107
518	168076	155769
519	168394	155441
520	168711	155111
521	169000	154754
522	169361	154465
523	169631	154092
524	169869	153691
525	170207	153381
526	170555	153078
527	170833	152714
528	171100	152340
529	171408	152003
530	171722	151672
531	172049	151351
532	172450	151096
533	172802	150797
534	173085	150438
535	173357	150070
536	173641	149712
537	173884	149321
538	174116	148919
539	174355	148525
540	174699	148219
541	174951	147837
542	175296	147533
543	175617	147209
544	175862	146821
545	176132	146454
546	176398	146085
547	176697	145742
548	177003	145406
549	177337	145094
550	177607	144728
551	177917	144396
552	178346	144161
553	178617	143796
554	178969	143497
555	179339	143213
556	179631	142866
557	179937	142531
558	180293	142235
559	180542	141855
560	180826	141502
561	181136	141170
562	181418	140816
563	181676	140444
564	182069	140177
565	182410	139869
566	182720	139537
567	183055	139225
568	183360	138889
569	183639	138535
570	183939	138196
571	184232	137852
572	184562	137536
573	184872	137204
574	185254	136927
575	185519	136563
576	185825	136229
577	186101	135873
578	186439	135562
579	186710	135204
