iter	Logloss
0	0.6208131166
1	0.5659430824
2	0.5246502166
3	0.4901819672
4	0.4601056539
5	0.43585299
6	0.4180875761
7	0.4037922046
8	0.3916994988
9	0.3807279674
10	0.3707113617
11	0.3628189439
12	0.3558233161
13	0.349824068
14	0.3451527518
15	0.3401059248
16	0.3354421516
17	0.3311604203
18	0.3271788071
19	0.3236632622
20	0.3203437025
21	0.3177604466
22	0.3149923911
23	0.312099746
24	0.3094505701
25	0.3066909228
26	0.3046231501
27	0.3030769529
28	0.3009219796
29	0.299157944
30	0.2975787104
31	0.2961472735
32	0.295058558
33	0.294342445
34	0.2931209003
35	0.292068161
36	0.2906899885
37	0.2897239803
38	0.2888365982
39	0.2879974982
40	0.2871914857
41	0.286268532
42	0.2850120208
43	0.284057726
44	0.2832085494
45	0.2826695853
46	0.281672639
47	0.2810522888
48	0.2805270191
49	0.2797205196
50	0.2787492006
51	0.2781358598
52	0.2774279592
53	0.2766805341
54	0.2761169436
55	0.2755667028
56	0.2749279754
57	0.2742921902
58	0.2736159554
59	0.2731789666
60	0.2726954561
61	0.2722519394
62	0.2715769559
63	0.2712318547
64	0.2705521559
65	0.2701106147
66	0.2697866046
67	0.2693049476
68	0.2688892534
69	0.2686247439
70	0.2682381734
71	0.2680355753
72	0.267955264
73	0.2672967141
74	0.2668286496
75	0.2663633598
76	0.2660334507
77	0.2656548218
78	0.2652411456
79	0.2648387053
80	0.2645560515
81	0.2644708979
82	0.2640310981
83	0.2639894318
84	0.2637494401
85	0.2635088728
86	0.2633838887
87	0.2632106023
88	0.2627893909
89	0.2624227559
90	0.2621390074
91	0.2617607823
92	0.2615271432
93	0.2610376643
94	0.2608949513
95	0.2605467588
96	0.260081767
97	0.2597401108
98	0.259301031
99	0.2589124055
100	0.2585413492
101	0.2582554546
102	0.2581934176
103	0.2579612249
104	0.2579201374
105	0.2575863086
106	0.2573040001
107	0.2569521922
108	0.2566291698
109	0.2565474017
110	0.2563618378
111	0.256162999
112	0.2558932171
113	0.2556634781
114	0.2556279613
115	0.2555473386
116	0.2550573477
117	0.2548181964
118	0.2545678152
119	0.2542947423
120	0.2539160595
121	0.2537170248
122	0.2535838822
123	0.2535636885
124	0.2532568641
125	0.2532404861
126	0.252967225
127	0.2529446327
128	0.2526600565
129	0.2523504279
130	0.2520486057
131	0.2517031608
132	0.2515239865
133	0.2514889591
134	0.2513533784
135	0.2513379212
136	0.2513201614
137	0.2511330284
138	0.251082962
139	0.2508676619
140	0.2506430968
141	0.2506069922
142	0.2505031104
143	0.2502824315
144	0.2502265081
145	0.2502077228
146	0.2499286888
147	0.2499124332
148	0.2498987006
149	0.249880701
150	0.2498651725
151	0.2495819053
152	0.2494545759
153	0.2494418761
154	0.2494230517
155	0.2491971511
156	0.2491802097
157	0.2491661353
158	0.2489195765
159	0.248749812
160	0.2487382166
161	0.2484499978
162	0.2484373971
163	0.248418779
164	0.2484059686
165	0.2481903338
166	0.2480141235
167	0.2479959263
168	0.2477781624
169	0.2474976476
170	0.2474844195
171	0.2474680145
172	0.247290884
